name,school_affiliation,keywords
Michael S. DeMott,biological-engineering,"Development of Methods Derived from Iodine-Induced Specific Cleavage for Identification and Quantitation of DNA Phosphorothioate Modifications; Nick-seq for single-nucleotide resolution genomic maps of DNA modifications and damage; Crystal structure and catalytic mechanism of the essential m¹ G37 tRNA methyltransferase TrmD from Pseudomonas aeruginosa; Loss of Elongator- and KEOPS-Dependent tRNA Modifications Leads to Severe Growth Phenotypes and Protein Aggregation in Yeast; Epigenetic competition reveals density-dependent regulation and target site plasticity of phosphorothioate epigenetics in bacteria; The road less traveled: A new phosphorothioate antiviral defense mechanism discovered in Archaea; Oxidation of phosphorothioate DNA modifications leads to lethal genomic instability; Methylation at position 32 of tRNA catalyzed by TrmJ alters oxidative stress response in Pseudomonas aeruginosa; Highly Predictive Reprogramming of tRNA Modifications Is Linked to Selective Expression of Codon-Biased Genes; Mycobacterial RNA isolation optimized for non-coding RNA: high fidelity isolation of 5S rRNA from Mycobacterium bovis BCG reveals novel post-transcriptional processing and a complete spectrum of modified ribonucleosides; Pathological phenotypes and in vivo DNA cleavage by unrestrained activity of a phosphorothioate-based restriction system in Salmonella; Genomic mapping of phosphorothioates reveals partial modification of short consensus sequences; In Situ Analysis of 8-Oxo-7,8-dihydro-2′-deoxyguanosine Oxidation Reveals Sequence- and Agent-Specific Damage Spectra; DNA phosphorothioation is widespread and quantized in bacterial genomes; A Quantitative Systems Approach Reveals Dynamic Control of tRNA Modifications during Cellular Stress; Quantification of the 2-Deoxyribonolactone and Nucleoside 5 '-Aldehyde Products of 2-Deoxyribose Oxidation in DNA and Cells by Isotope-Dilution Gas Chromatography Mass Spectrometry: Differential Effects of gamma-Radiation and Fe[superscript 2+]-EDTA"
Benjamin Garcia,biological-engineering,
David B. Gordon,biological-engineering,
Elena V. Gostjeva,biological-engineering,
Charisse Flerida A. Pasaje,biological-engineering,
Jifa Qi,biological-engineering,
Rahul Raman,biological-engineering,
Erin C. Sanders,biological-engineering,
Tyler Stukenbroeker,biological-engineering,
Yu-Xin Xu,biological-engineering,Systems Biology Approaches for Elucidating Early ALS Disease Processes
C. Forbes Dewey Jr,biological-engineering,A computational model of mutual antagonism in the mechano-signaling network of RhoA and nitric oxide; Modeling oxygen requirements in ischemic cardiomyocytes; In Silico Modeling of Shear-Stress-Induced Nitric Oxide Production in Endothelial Cells through Systems Biology; Heparan Sulfate Regrowth Profiles Under Laminar Shear Flow Following Enzymatic Degradation; Systems biology of endothelial mechano-activated pathways; Engineering the tumor microenvironment using microfluidics : effects of cell-cell interactions and endothelial barrier function on tumor cell intravasation; Plasmin Triggers a Switch-Like Decrease in Thrombospondin-Dependent Activation of TGF-β1; OREMPdb: a semantic dictionary of computational pathway models; FUSE: a profit maximization approach for functional summarization of biological networks; CytoSolve: A Scalable Computational Method for Dynamic Integration of Multiple Molecular Pathway Models; OREMP: Ontology Reasoning Engine for Molecular Pathways; Advancing clinical gait analysis through technology and policy; A Distributed Computational Architecture for Integrating Multiple Biomolecular Pathways; Scalable computational architecture for integrating biological pathway models; Three-dimensional flow-induced dynamics of the endothelial surface glycocalyx layer; Flow-induced mechanotransduction in cell-cell junctions of endothelial cells; Physical model of a hybrid electric drive train; Actin remodeling in motile cells; ExperiBase : an integrated software architecture to support modern experimental biology; Actin dynamics in the cell cytoplasm and the role of actin associated proteins
Alan J. Grodzinsky,biological-engineering,Inflammatory cytokines and mechanical injury induce post-traumatic osteoarthritis-like changes in a human cartilage-bone-synovium microphysiological system; Tissue catabolism and donor-specific dexamethasone response in a human osteochondral model of post-traumatic osteoarthritis; Engineering M13 Bacteriophage Nanoplatforms for Diagnostic and Therapeutic Applications; On-Chip Engineered Human Lymphatic Microvasculature for Physio-/Pathological Transport Phenomena Studies; Engineered microvascular brain-on-a-chip model for the study of tumor progression; Creb5 establishes the competence for Prg4 expression in articular cartilage; Proteomic analysis reveals dexamethasone rescues matrix breakdown but not anabolic dysregulation in a cartilage injury model; Mechanobiological model for simulation of injured cartilage degradation via pro-inflammatory cytokines and mechanical stimulus; Mechanical and transcriptional alterations during cancer cell transendothelial migration; Lose‐Dose Administration of Dexamethasone is Beneficial in Preventing Secondary Tendon Damage in a Stress‐Deprived Joint Injury Explant Model; Age-associated changes in the response of tendon explants to stress deprivation is sex-dependent; Dexamethasone: chondroprotective corticosteroid or catabolic killer?; Enzyme Pretreatment plus Locally Delivered HB-IGF-1 Stimulate Integrative Cartilage Repair In Vitro; Solid stress in brain tumours causes neuronal loss and neurological dysfunction and can be reversed by lithium; Designing nanocarriers to penetrate cartilage and improve delivery of biologic drugs for osteoarthritis; Modeling and controlling uncertainty in multi-level biological systems; Directed biogenic fabrication : programming cells and their ecosystems to grow civil infrastructure; Nanoscale Poroelasticity of the Tectorial Membrane Determines Hair Bundle Deflections; Cartilage diseases; A novel mechanobiological model can predict how physiologically relevant dynamic loading causes proteoglycan loss in mechanically injured articular cartilage
Alexander M. Klibanov,biological-engineering,"HIV-1 protease as a target for antiretroviral therapy; Plasma-Treated Microplates with Enhanced Protein Recoveries and Minimized Extractables; Automated flow peptide synthesis; Investigation and application of heterochiral proteins enabled by flow-based peptide synthesis; Viscosity-Reducing Bulky-Salt Excipients Prevent Gelation of Protein, but Not Carbohydrate, Solutions; Design, synthesis, and biological evaluation of diketopiperazine based ionizable lipids for the in vivo delivery of messenger RNA; Low-Transition-Temperature Mixtures (LTTMs) for Dissolving Proteins and for Drug Formulation; Delivery of biomolecules into mammalian cells using anthrax toxin; Inactivation of Bacteria by Electric Current in the Presence of Carbon Nanotubes Embedded Within a Polymeric Membrane; Aerosol-Assisted Plasma Deposition of Hydrophobic Polycations Makes Surfaces Highly Antimicrobial; Zanamivir Conjugated to Poly-L-Glutamine is Much More Active Against Influenza Viruses in Mice and Ferrets Than the Drug Itself; Conjugation to polymeric chains of influenza drugs targeting M2 ion channels partially restores inhibition of drug-resistant mutants; BMP7 Gene Transfer via Gold Nanoparticles into Stroma Inhibits Corneal Fibrosis In Vivo; Non-Aqueous Suspensions of Antibodies are Much Less Viscous Than Equally Concentrated Aqueous Solutions; Antiviral polymeric drugs and surface coatings; Antiviral and Antibacterial Polyurethanes of Various Modalities; Polymer-attached zanamivir inhibits synergistically both early and late stages of influenza virus infection; Attenuation of corneal myofibroblast development through nanoparticle-mediated soluble transforming growth factor-β type II receptor (sTGFβRII) gene transfer; Conjugating drug candidates to polymeric chains does not necessarily enhance anti-influenza activity; Decreasing Herpes Simplex Viral Infectivity in Solution by Surface-Immobilized and Suspended N,N-Dodecyl,methyl-polyethylenimine"
Leona D. Samson,biological-engineering,"CometChip enables parallel analysis of multiple DNA repair activities; Excision of mutagenic replication-blocking lesions suppresses cancer but promotes cytotoxicity and lethality in nitrosamine-exposed mice; CometChip analysis of human primary lymphocytes enables quantification of inter-individual differences in the kinetics of repair of oxidative DNA damage; Sensitive CometChip assay for screening potentially carcinogenic DNA adducts by trapping DNA repair intermediates; Inflammation-induced DNA damage, mutations and cancer; The human gut bacterial genotoxin colibactin alkylates DNA; Microcolony Size Distribution Assay Enables High-Throughput Cell Survival Quantitation; Computational analysis of cell-cell communication in the tumor microenvironment; Nitric oxide induced S-nitrosation causes base excision repair imbalance; A novel DNA damage quantification platform enables high throughput screening for genes that impact DNA double strand breaks; Exploring the mutagenic consequences of inflammation and DNA damage; Leveraging cell micropatterning technology for rapid cell-based assessment of chemical toxicity and population variation in toxicity susceptibility; In vivo measurements of interindividual differences in DNA glycosylases and APE1 activities; Alkylation induced cerebellar degeneration dependent on Aag and Parp1 does not occur via previously established cell death mechanisms; PARP inhibitors protect against sex- and AAG-dependent alkylation-induced neural degeneration; Stimuli-responsive self-assembling materials comprising amphiphilic copolymers for localized remotely triggered therapeutic delivery; Investigation into the role of DNA damage and repair during influenza infection and inflammation; Quantitative analysis of proteotoxicity associated with neurodegenerative disease; A novel role for transcription-coupled nucleotide excision repair for the in vivo repair of 3, N[superscript4]-ethenocytosine; DNA repair capacity in multiple pathways predicts chemoresistance in glioblastoma multiforme"
Paula T. Hammond,chemical-engineering,
Kristala L. Jones Prather,chemical-engineering,
Daniel Griffith Anderson,chemical-engineering,
Robert C. Armstrong,chemical-engineering,
Paul I. Barton,chemical-engineering,
Martin Z. Bazant,chemical-engineering,"Coupled effect of water absorption and ion transport in hydrated latex anti-corrosion coatings; Polar liquids at charged interfaces: A dipolar shell theory; Learning the Electrochemistry of Degradation and Safety in Graphite Porous Electrodes for Lithium-ion Batteries; Physical Models and Statistical Methods for Understanding Electrochemical Kinetics; Phase Behavior, Filling Dynamics, and Packing of Fluids inside Isolated Carbon Nanotubes; Corrosion and Corrosion Prevention Technology: Revisiting the Fundamentals and Looking Forward; Tackling Climate Change with Machine Learning; Nonlinear ion transport mediated by induced charge in ultrathin nanoporous membranes; Data-driven Modeling of Lithium Intercalation Materials; Multiscale Modeling of Electronic Polarization Effects in Interfacial Thermodynamics and Nanoscale Transport Phenomena; A guideline to limit indoor airborne transmission of COVID-19; Theory of shock electrodialysis I: Water dissociation and electrosmotic vortices; Large-deformation plasticity and fracture behavior of pure lithium under various stress states; Theory of coupled ion-electron transfer kinetics; Image inversion and uncertainty quantification for constitutive laws of pattern formation; Correlated Ion Transport and the Gel Phase in Room Temperature Ionic Liquids; Ion Clusters and Networks in Water-in-Salt Electrolytes; Deionization shocks in crossflow; Monitoring carbon dioxide to quantify the risk of indoor airborne transmission of COVID-19; Growth morphology and symmetry selection of interfacial instabilities in anisotropic environments"
